資料集名稱,檔案格式,下載連結,資料集類型,資料集描述,主要欄位說明,資料集提供機關,更新頻率,授權方式,授權說明網址,計費方式,編碼格式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,備註
"行政院重大政策","xml","http://www.ey.gov.tw/Rss_News.aspx?n=3D06E532B0D8316C","rawData","提供行政院重大政策之訊息。","「主題」、「日期」、「連結」、「內容」。","行政院","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","洪先生","02-33568122",""
"歷年國有土地數量統計","csv","http://www.fnp.gov.tw/Web/Data/main/05-101-1.csv","rawData","歷年公用及非公用之國有土地統計資料","年度、公用土地 筆數、公用土地面積、公用土地價值、非公用土地 筆數、非公用土地面積、非公用土地價值","財政部國有財產署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"歷年國有非公用不動產撥用數量統計","csv","http://www.fnp.gov.tw/Web/Data/main/06-101-1.csv","rawData","國產署歷年辦理國有非公用不動產撥用業務之統計資料","年度、有償筆數、有償面積、有償價值、無償筆數、無償面積、無償價值、學校用地撥用筆數、學校用地撥用面積、道路用地撥用筆數、道路用地撥用面積、公園綠地用地撥用筆數、公園綠地用地撥用面積、市場用地撥用筆數、市場用地撥用面積、辦公廳舍用地撥用筆數、辦公廳舍用地撥用面積、其他用途撥用筆數、其他用途撥用面積","財政部國有財產署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"歷年處理被占用國有非公用土地數量統計","csv","http://www.fnp.gov.tw/Web/Data/main/07-101-1.csv","rawData","國產署歷年處理被占用國有非公用土地業務之統計資料","年度、筆(錄)數、面積","財政部國有財產署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"歷年國有非公用不動產出租統計","csv","http://www.fnp.gov.tw/Web/Data/main/08-101-1.csv","rawData","國產署歷年辦理國有非公用不動產出租業務之統計資料","年度、筆(錄)數、面積、租金收入","財政部國有財產署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"歷年國有非公用土地出售統計","csv","http://www.fnp.gov.tw/Web/Data/main/09-101-1.csv","rawData","國產署歷年辦理國有非公用土地出售業務之統計資料","年度、筆數、面積、售價收入","財政部國有財產署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"歷年與中央或地方主管機關合作或委託辦理國有土地改良利用案件統計","csv","http://www.fnp.gov.tw/Web/Data/main/10-101-1.csv","rawData","國產署歷年與中央或地方主管機關合作或委託辦理國有土地改良利用業務之統計資料","辦理階段、合作對象、案名、簽約時間、合作期間、面積、民間投資金額、預估總收益、分收權利金比例、分收地租比例","財政部國有財產署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"歷年設定地上權案件統計","csv","http://www.fnp.gov.tw/Web/Data/main/11-101-1.csv","rawData","國產署歷年設定地上權業務之統計資料","訂約日期、專案或招標、土地標示、土地面積、權利金、訂約當期年租金","財政部國有財產署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"海關進出口貿易統計","csv","http://web.customs.gov.tw/public/attachment/391210321771.csv","rawData","提供海關進出口通關貨物統計數值","「進出口別」","財政部關務署","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","鍾小姐","02-25505500#2815",""
"關務署轄區報關業者名冊","csv","http://web.customs.gov.tw/public/Attachment/3102810413571.zip","rawData","提供關務署轄區報關業者名冊","主要欄位有-簡稱、箱號、報關業名稱、電話號碼  ","財政部關務署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","宗先生","02-25505500",""
"關務署轄區運輸業者名冊","csv","http://web.customs.gov.tw/public/Attachment/310281103471.zip","rawData","提供關務署轄區運輸業者名冊","主要欄位有-編號、運輸業名稱、地址、電話號碼、統一編號、船公司代碼","財政部關務署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","宗先生","02-25505500",""
"關稅及代徵收入","csv","http://web.customs.gov.tw/public/Attachment/3102811142971.zip","rawData","提供關務署關稅及代徵收入","關稅收入主要欄位有-年度、月份、預算數、實收數、超(短)徵數(%)、增(減)%  代徵收入主要欄位有-年度、貨物稅、營業稅、推廣貿易服務費、菸酒稅、健康福利捐、專賣利益、特種貨物及勞務稅、商港建設費及其他、合計","財政部關務署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","宗先生","02-25505500",""
"ECFA早期收穫減讓關稅統計表","csv","http://web.customs.gov.tw/public/Attachment/382811525771.csv","rawData","提供ECFA早期收穫貨品完稅價格及減讓關稅統計數值","章別、章名、完稅價格、減讓關稅  ","財政部關務署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","宗先生","02-25505500",""
"每旬報關匯率","txt","http://web.customs.gov.tw/currency/currency/x86z.txt","rawData","提供海關從價課徵關稅之外幣折算匯率","主要欄位有-幣別(3碼)、年(3碼)、月(2碼)、旬別(1碼)、賣出(8碼)、買入(8碼)","財政部關務署","每旬","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","宗先生","02-25505500",""
"關稅配額進口貨物數量與價值統計表","csv","http://web.customs.gov.tw/public/Attachment/391211463471.csv","rawData","提供關稅配額進口貨物數量與價值統計表","年度、月份、貨名、貨品分類、國家、進口量、累計進口量、進口值、累計進口值","財政部關務署","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","宗先生","02-25505500",""
"與我國簽訂自由貿易協定國家貨品統計","csv","http://web.customs.gov.tw/public/Attachment/391211455771.csv","rawData","提供與我國簽訂自由貿易協定國家貨品統計","年度、月份、貨名、貨品分類、當月數量、本年累計數量、當月價值、本年累計","財政部關務署","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","宗先生","02-25505500",""
"入境旅客攜帶自用農畜水產品菸酒限量表","csv","http://web.customs.gov.tw/public/Attachment/391211435971.csv","rawData","提供入境旅客攜帶自用農畜水產品菸酒限量表","品名、數量、備註  ","財政部關務署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","宗先生","02-25505500",""
"農產品實施特別防衛措施基準數量表","csv","http://web.customs.gov.tw/public/Attachment/39121145871.csv","rawData","提供農產品實施特別防衛措施基準數量表","項目、稅則號別、平均消費量、平均進口量、市場占有率、基準率、消費變動量、基準數量  ","財政部關務署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","宗先生","02-25505500",""
"稅則預先審核案例","csv","http://web.customs.gov.tw/public/Attachment/3102813304671.csv","rawData","關務署稅則預先審核案例資料","稅則分類理由(tf_hs_e_reason)、稅則(TF_STANDARD_HS)、稅則號別(tno)、統計號別(sc)、檢查碼(cd)、申報貨品名稱(TF_ENGLISH_COMMODITY)、材質成分(TF_FACTOR_MATERIAL)、功能及用途(TF_FUNCTION)、發文日期(TF_ISSUE_DATE)、發文文號(TF_ISSUE_DOCU_NO)、中文稅則名稱(cnote)、英文稅則名稱(enote)  ","財政部關務署","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","宗先生","02-25505500",""
"財政部頒訂製造業原物料耗用通常水準最新適用年度","csv","http://www.ntbsa.gov.tw/etwmain/download?sid=1419bd2e8080000010ec43752a4b5cf5","rawData","彙整製造業原物料耗用通常水準最新適用年度","行業別、最新適用年度","財政部南區國稅局","每年更新一次","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","郭小姐","06-2223111#8035",""
"全國財產稅籍持有人數統計表","csv","http://www.fia.gov.tw/public/Attachment/3759343371.csv","rawData","依稅捐稽徵機關提供之財產稅課稅資料，分別統計各縣市土地、房屋、車輛及投資資料，財產稅籍持有人數量","房屋、土地、車輛、營所稅申報之投資人資料","財政部財政資訊中心","每年7月更新一次","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","邱先生","02-27631833-3305",""
"綜合所得稅結算申報書統計表","csv","http://www.fia.gov.tw/public/Attachment/3951547871.csv","rawData","五地區國稅局綜所稅申報資料統計","人工申報、二維申報、網路申報、試算服務","財政部財政資訊中心","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","劉小姐","02-27631833#1256",""
"綜合所得稅結算申報書統計表","xml","http://www.fia.gov.tw/public/Attachment/39515473471.xml","rawData","五地區國稅局綜所稅申報資料統計","人工申報、二維申報、網路申報、試算服務","財政部財政資訊中心","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","劉小姐","02-27631833#1256",""
"100年度未分配盈餘申報收件統計表簡表","csv","http://www.fia.gov.tw/public/Attachment/3102410362271.csv","rawData","營利事業辦理100年度未分配盈餘申報之收件統計表","申報類別:係指不同營利事業之特性  方式:係指營利事業辦理結算申報之方式  件數:係指申報件數  金額:係指結算申報書第16頁第27欄","財政部財政資訊中心","每年1次","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","林小姐","02-27631833#1325",""
"101年度營利事業所得稅基本稅額申報收件統計表簡表 ","csv","http://www.fia.gov.tw/public/Attachment/3102410363971.csv","rawData","營利事業辦理101年度所得基本稅額(最低稅負)之收件統計表  ","【申報類別】係指不同營利事業之特性；【方式】係指營利事業辦理結算申報之方式；【件數】是指申報件數；【金額】是指結算申報書第1頁第118欄  ","財政部財政資訊中心","每年1次 ","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","林小姐","02-27631833#1325",""
"101年度營利事業所得稅結算申報收件總表","csv","http://www.fia.gov.tw/public/Attachment/31024103602.csv","rawData","營利事業辦理101年度結算申報件數及金額彙總統計表","【自繳稅額】:  結算申報是指結算申報書第1頁第64欄；  基本稅額申報是指第1頁118欄；  未分配盈餘申報是指結算申報書第16頁第24欄","財政部財政資訊中心","每年1次 ","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","林小姐","02-27631833#1325",""
"101年度營利事業所得稅結算申報收件統計表簡表 ","csv","http://www.fia.gov.tw/public/Attachment/3102410361171.csv","rawData","營利事業辦理101年度結算申報之收件統計表","【申報類別】係指不同營利事業之特性；【方式】係指營利事業辦理結算申報之方式；【件數】是指申報件數；【金額】是指結算申報書第 1頁第 64欄","財政部財政資訊中心","每年1次 ","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","林小姐","02-27631833#1325",""
"臺閩地區營業稅自動報繳單位申報情形分析表(縣市別、行業別) ","csv","http://www.fia.gov.tw/public/Attachment/3102410431271.csv","rawData","臺閩地區營業稅自動報繳單位申報情形分析表(縣市別、行業別) ","1.各縣市申報家數、申報銷售額(應稅、免稅、零稅率及特種稅)、應實繳稅額及應退稅額  2.各行業別申報家數、申報銷售額(應稅、免稅、零稅率及特種稅)、應實繳稅額及應退稅額  ","財政部財政資訊中心","每年8月 ","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","楊先生","02-27631833#1354",""
"幼兒園名錄","txt","https://stats.moe.gov.tw/files/school/101/k1_new.txt","rawData","自國民及學前教育資料之子資料集-幼兒園名錄，主要提供全臺灣幼兒園通訊資料。","學校代號、幼兒園名稱、縣市別、鄉鎮市區別、幼兒園住址、幼兒園電話","教育部","每學年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","許小姐","02-77365746",""
"國民小學名錄","txt","https://stats.moe.gov.tw/files/school/102/e1_new.txt","rawData","自國民及學前教育資料之子資料集-國民小學名錄，主要提供全臺灣國民小學通訊資料","代碼、學校名稱、縣市名稱、地址、電話、網址","教育部","每學年","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","Unicode;","姚先生","02-77365756",""
