產地,主旨,原因,進口商名稱,進口商地址,貨品分類號列,不合格原因暨檢出量詳細說明,法規限量標準,製造廠或出口商名稱,製造商代碼,牌名,重量,處置情形,發布日期,報驗受理日期,附圖
"中國大陸","調味料-孜然粉","殘留農藥含量不符規定","欣臨企業股份有限公司","台北市中山區南京東路三段70號4樓","0909.30.00.00-6","檢出農藥殘留亞滅培0.26 ppm、貝芬替0.33 ppm、佈飛松0.89 ppm、賽滅寧0.43 ppm、菲克利0.21 ppm與愛殺松0.10 ppm。","依「殘留農藥安全容許量標準」農藥亞滅培限量0.05 ppm、貝芬替限量 0.05 ppm、佈飛松限量0.10 ppm、賽滅寧限量0.25 ppm、菲克利限量0.10 ppm與愛殺松不得檢出，本案不符合食品衛生管理法第11條規定。","MCCORMICK FOODS CO., LTD.","","MCCORMICK","1,250","案內不合格商品依規定退運或銷毀。","2012-10-09","2012-09-11","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2358&type=unsafefood"
"菲律賓","香蕉醬","甜味劑含量不符規定","德來貿易有限公司","桃園縣蘆竹鄉中正路３０３號７樓之３","2103.90.90.90-5","案內產品檢出糖精0.20 g/kg","依據「食品添加物使用範圍及限量暨規格標準」甜味劑糖精為不得檢出，本案不符合食品衛生管理法第12條規定。","UFC PHILS. INC.","","UFC","3,200","案內不合格商品依規定退運或銷毀。","2012-10-16","2012-09-19","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2359&type=unsafefood"
"日本","鮮溫州蜜柑","殘留農藥含量不符規定","吉弘水果有限公司","台北市中和區開封街一段81號2樓","0805.20.10.10-9","檢出殘留農藥脫芬瑞0.07 ppm","依「殘留農藥安全容許量標準」農藥脫芬瑞為不得檢出，本案不符合食品衛生管理法第11條規定。","MEIKO TRADING CO., LTD","","MEIKO","194.6","案內不合格商品依規定退運或銷毀。","2012-10-16","2012-09-20","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2360&type=unsafefood"
"日本(產地中國大陸)","CHEF’N量杯四入組綠色","其它衛生項目不符規定(蒸發殘渣含量不符規定)","統一午茶風光股份有限公司","台北市松山區東興路8號8樓","3924.10.00.20-1","檢出聚丙烯(PP)類蒸發殘渣132 ppm(4%醋酸)及19175 ppm(正庚烷)","依據「食品器具容器包裝衛生標準」聚丙烯(PP)類溶媒4%醋酸及正庚烷之蒸發殘渣均限量30 ppm，本案不符合食品衛生管理法第10條規定。","ICL INC.","","AFTERNOON TEA","1.68","案內不合格商品依規定退運或銷毀。","2012-10-25","2012-09-24","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2364&type=unsafefood"
"日本(產地俄羅斯)","冷凍甜蝦","重金屬含量不符規定","上心貿易有限公司","臺北市中山區農安街32號8樓之8","0306.13.00.90-7","檢出重金屬鎘1.47 ppm","依「水產動物類衛生標準」甲殼類鎘限量為0.5 ppm以下，本案不符合食品衛生管理法第10條規定。","株式會社 水崎水產","","","1,800","案內不合格商品依規定退運或銷毀。","2012-10-25","2012-09-10","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2365&type=unsafefood"
"印尼","尿蝦","重金屬含量不符規定","九州國際水產有限公司","桃園縣大園鄉果林村23-128號","0306.29.19.10-5","檢出重金屬鎘9.3 ppm","依據「水產動物類衛生標準」甲殼類重金屬限量0.5 ppm，本案不符合「食品衛生管理法」第10條規定。","ID001","","PT.BHAKTI PERSADA","66","案內不合格商品依規定退運或銷毀。","2012-10-25","2012-09-25","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2366&type=unsafefood"
"中國大陸","鮮白蘿蔔","殘留農藥含量不符規定","農貿國際農業有限公司","高雄市岡山區嘉新東路69號2樓之5(82055)","0706.90.00.10-6","檢出殘留農藥益達胺(Imidacloprid)0.18 ppm","依＂殘留農藥安全容許量標準＂農藥益達胺(Imidacloprid)限量0.01 ppm，本案不符合食品衛生管理法第11條規定。","QINGDAO DONGXIN FOODS CO., LTD.","CNXGG","","25,000","案內不合格商品依規定退運或銷毀。","2012-10-25","2012-09-27","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2367&type=unsafefood"
"美國","冷凍豬腳","動物用藥殘留不符規定","奇崴食品有限公司","臺中市西屯區漢成六街38號1樓","0206.49.30.00-9","本案檢出動物用藥殘留乙型受體素 (Ractopamine) 2.2 ppb","依「動物用藥殘留標準」萊克多巴胺不得檢出，本案不符合食品衛生管理法第11條規定。","SWIFT PORK COMPANY","995","SWIFT","20,888.1","案內不合格商品依規定退運或銷毀。","2012-10-25","2012-09-25","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2368&type=unsafefood"
"中國大陸","杯子(5281/210 TABLEWARE (CUP))","其它衛生項目不符規定(其他衛生項目不符規定)","荷蘭商颯拉家飾股份有限公司台灣分公司","臺北市松山區敦化北路88號9樓之3","3924.10.00.20.1","溶出試驗檢出三聚氰胺4.2 ppm","依據「食品器具容器包裝衛生標準」，溶出試驗合格標準三聚氰胺為2.5 ppm以下，本案不符合食品安全衛生管理法第17條規定。","ZARA HOME ESPANA S.A.","","ZARA HOME","1.25","案內不符合商品依規定退運或銷毀。","2015-06-03","2015-05-01","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4402&type=unsafefood"
"日本","SF11870保鮮盒(SF11870 CONTAINER)","其它衛生項目不符規定(其他衛生項目不符規定)","愛蜜思諾菈股份有限公司","臺北市松山區八德路三段158巷7弄41號1樓","3924.10.00.20.1","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","イノマタ化学株式会社","大阪","","4.57","案內不符合商品依規定退運或銷毀。","2015-06-03","2015-05-05","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4403&type=unsafefood"
"日本","SF28489 飯盒(SF28489 FOOD CONTAINER)","其它衛生項目不符規定(其他衛生項目不符規定)","愛蜜思諾菈股份有限公司","臺北市松山區八德路三段158巷7弄41號1樓","3924.10.00.20.1","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","イノマタ化学株式会社","大阪","","54.79","案內不符合商品依規定退運或銷毀。","2015-06-03","2015-05-05","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4404&type=unsafefood"
"日本","冷凍保鮮盒(4957394802870 FOOD CONTAINER 10PCS)","其它衛生項目不符規定(其他衛生項目不符規定)","易世股份有限公司","臺中市西區向上南路一段223號3樓之6","3924.10.00.20.1","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","AKACHAN HONPO CO., LTD.","大阪","AKACHAN HONPO CO., LTD.","21","案內不符合商品依規定退運或銷毀。","2015-06-03","2015-05-07","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4410&type=unsafefood"
"日本","保存容器(4973430406871PLASTIC CONTAINER SLIM TYPE L)","其它衛生項目不符規定(其他衛生項目不符規定)","台灣大創百貨股份有限公司","台北市中山區南京西路1號5樓之7","3924.10.00.20.1","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","大創產業株式會社","廣島","DAISO","9.45","案內不符合商品依規定退運或銷毀。","2015-06-03","2015-05-07","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4411&type=unsafefood"
"日本","保存容器(4933712132997PLASTIC FOOD CONTAINER 1400CC)","其它衛生項目不符規定(其他衛生項目不符規定)","台灣大創百貨股份有限公司","台北市中山區南京西路1號5樓之7","3924.10.00.20.1","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","大創產業株式會社","廣島","DAISO","8.26","案內不符合商品依規定退運或銷毀。","2015-06-03","2015-05-07","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4412&type=unsafefood"
"日本","微波調理容器(4560219032132MICROWAVE CONTAINER A80 1.25L)","其它衛生項目不符規定(其他衛生項目不符規定)","台灣大創百貨股份有限公司","台北市中山區南京西路1號5樓之7","3924.10.00.20.1","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","大創產業株式會社","廣島","DAISO","3.64","案內不符合商品依規定退運或銷毀。","2015-06-03","2015-05-07","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4413&type=unsafefood"
"日本","保存容器(4955959000785FOOD STORAGE CONTAINER 650 2P)","其它衛生項目不符規定(其他衛生項目不符規定)","台灣大創百貨股份有限公司","台北市中山區南京西路1號5樓之7","3924.10.00.20.1","耐熱測試結果有異狀(變形)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","大創產業株式會社","廣島","DAISO","2","案內不符合商品依規定退運或銷毀。","2015-06-03","2015-05-07","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4419&type=unsafefood"
"美國","鮮紅櫻桃(FRESH CHERRIES)","殘留農藥含量不符規定","匯威有限公司","台北巿中山區中山北路二段77巷47號9樓","0809.29.00.00.0","檢出殘留農藥Fenhexamid 0.05 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","AGRIMAX INTERNATIONAL L.L.C.","USCFJ","AGRIMAX INTERNATIONAL L.L.C.","1,150","案內不符合商品依規定退運或銷毀。","2015-06-03","2015-05-07","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4420&type=unsafefood"
"泰國","粉絲(BEAN VERMICELLI)","漂白劑含量不符規定","金勇食品行","桃園縣八德市和平路584號3樓","1901.90.40.00.1","檢出二氧化硫殘留量0.310 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，漂白劑殘留量(以二氧化硫計)為0.030 g/kg以下，本案不符合食品安全衛生管理法第18條規定。","THAI HA PUBLIC CO., LTD.","","KASET","50","案內不符合商品依規定退運或銷毀。","2014-11-04","2014-10-06","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3662&type=unsafefood"
"墨西哥","安丘辣椒粉(968271 511096 CHILI POWDER ANCHO, SM)","其它衛生項目不符規定(殘留農藥及重金屬含量不符規定)","惠康百貨股份有限公司","臺北市士林區華齡街175號2樓","0904.22.00.00.1","(1)檢出殘留農藥芬普尼0.003 ppm(2)檢出重金屬鉛1.1 ppm、鎘0.3 ppm","(1)依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。(2)依據「蔬果植物類重金屬限量標準」，鉛限量為0.3 ppm以下、鎘限量為0.2 ppm以下，本案不符合食品安全衛生管理法第17條規定。","DEAN & DELUCA","","DEAN & DEL","1.19","案內不符合商品依規定退運或銷毀。","2017-07-25","2017-06-08","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6427&type=unsafefood"
"中國大陸","簡易型訓練杯(不含牙蓋組)","其它衛生項目不符規定(其他衛生項目不符規定)","林哥股份有限公司","彰化縣田尾鄉饒平村富農路三段200號","3924.10.00.20.1","耐熱測試結果有異狀(表面霧化且失去光滑)","案內產品「耐熱溫度」與現品標示不符，本案不符合食品安全衛生管理法第28條規定。","林哥嬰兒用品(昆山)有限公司","","","127.46","案內不符合商品依規定退運或銷毀。","2015-12-22","2015-11-16","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5018&type=unsafefood"
"日本","哈密瓜(MELON TEMP.COOL FOR FOOD USAGE)","殘留農藥含量不符規定","台灣雅瑪多國際物流股份有限公司","台北巿復興南路一段303號6樓","0807.19.10.00.2","檢出殘留農藥依普同0.07 ppm","依據「農藥殘留容許量標準」，農藥依普同限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","北海道新發見FACTORY","北海道","","13.50","案內不符合商品依規定退運或銷毀。","2015-10-27","2015-09-22","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4881&type=unsafefood"
"美國","鮮葡萄柚(FRESH GRAPEFRUIT)","殘留農藥含量不符規定","瑜寧企業有限公司","新北市板橋區民族路60號11樓","0805.40.91.10.7","檢出殘留農藥脫芬瑞0.07 ppm","依據「農藥殘留容許量標準」，農藥脫芬瑞定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","CAL EX TRADING COMPANY","USFOA","CONTINENTAL","22,861.00","案內不符合商品依規定退運或銷毀。","2016-03-23","2016-02-06","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5177&type=unsafefood"
"印尼","棕櫚果仁 A4929(BEE BRAND PALM FRUIT (KOLANG KALING) SWEET ATAP SEED)","漂白劑含量不符規定","品昌貿易有限公司","高雄市左營區重清路272號","2008.99.91.90.1","檢出二氧化硫殘留量0.18 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，漂白劑用量(以二氧化硫殘留量計)為0.10 g/kg以下，本案不符合食品安全衛生管理法第18條規定。","SENTOSA ENTERPRISE","","BAMBOE","240.00","案內不符合商品依規定退運或銷毀。","2016-10-25","2016-09-19","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5693&type=unsafefood"
"韓國","大白菜(FRESH CHINESE CABBAGE)","殘留農藥含量不符規定","宜捷威科技股份有限公司","台北市中山區民生東路一段13號3樓","0704.90.10.00.8","檢出殘留農藥氟尼胺0.04 ppm","依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第17條規定。","H. SUN FARMERS AGRICULTURAL CO.,LTD","","","15,750.00","案內不符合商品依規定退運或銷毀。","2016-12-28","2016-11-24","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5888&type=unsafefood"
"日本","血蛤(FRESH AKAGAI CLAM)","重金屬含量不符規定","鮮運貿易有限公司","台北市中山區龍江路331巷25號1樓","0307.71.90.90.6","檢出鎘9 ppm","依據「水產動物類衛生標準」，鎘限量為2 ppm以下，本案不符合食品安全衛生管理法第17條規定。","TOYOMI CO.,LTD.","熊本","TOYOMI CO.,LTD.","2.00","案內不符合商品依規定退運或銷毀。","2017-01-10","2016-12-12","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5933&type=unsafefood"
"泰國","COCK 冷凍卡菲萊姆葉(FROZEN LIME LEAF)","殘留農藥含量不符規定","御相企業有限公司","台北市內湖區港華街3號2樓","1211.90.92.10.1","檢出殘留農藥百滅寧0.03 ppm","依據「農藥殘留容許量標準」，農藥百滅寧定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","VR FOODS CO., LTD.","","COCK","1,140.00","案內不符合商品依規定退運或銷毀。","2017-03-09","2017-02-03","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6098&type=unsafefood"
"韓國","韓國醃蘿蔔(PICKLED RADISH-VITA TONG)","甜味劑含量不符規定","韓濟名味品有限公司","新北市板橋區滿翠里民生路三段281巷2弄15號1樓","2005.99.90.99.6","檢出甜味劑糖精0.77 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表訂使用範圍內之食品，本案不符合食品安全衛生管理法第18條規定。","ILMI AGRICULTURE & FISHERIES CO.,LTD","","","120.00","案內不符合商品依規定退運或銷毀。","2017-08-08","2017-07-05","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=6469&type=unsafefood"
"美國","鮮洋蔥(FRESH ONIONS)","殘留農藥含量不符規定","閎牙貿易有限公司","高雄市三民區中原街122之2號","0703.10.10.00.6","檢出殘留農藥大克爛0.02 ppm","依據「農藥殘留容許量標準」，農藥大克爛定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","KIBUN FOODS (USA) INC.","USEEP","EASTERDAY","143,474.00","案內不符合商品依規定退運或銷毀。","2017-01-10","2016-12-15","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=5939&type=unsafefood"
