類別,中文品名,英文品名,使用食品範圍及限量,使用限制,規格,類別說明
"(六) 膨脹劑","酒石酸氫鉀","Potassium Bitartrate","本品可於各類食品中視實際需要適量使用","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/73\06007d-酒石酸氫鉀d-Bitartrate.doc@@@73\06007dl酒石酸氫鉀Potassium dl-Bitartrate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(六) 膨脹劑","碳酸氫鈉","Sodium Bicarbonate","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/74\06008碳酸氫鈉Sodium Bicarbonate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(六) 膨脹劑","碳酸銨","Ammonium Carbonate","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/75\06009碳酸銨Ammonium carbonate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(六) 膨脹劑","碳酸氫銨","Ammonium Bicarbonate","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/76\06010碳酸氫銨Ammonium Bicarbonate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(六) 膨脹劑","碳酸鉀","Potassium Carbonate","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/77\06011碳酸鉀Potassium Carbonate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(六) 膨脹劑","合成膨脹劑","Baking Powder","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/78\06012合成膨脹劑Baking powder.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(六) 膨脹劑","酸式磷酸鋁鈉","Sodium Aluminum Phosphate，Acidic","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/79\06013酸式磷酸鋁鈉Sodium Aluminum Phosphate (Acidic).doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(六) 膨脹劑","燒鈉明礬","Burnt Sodium Alum","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/80\06014燒鈉明礬Burnt Sodium Alum.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","氯化鈣","Calcium Chloride","本品可使用於各類食品；用量以Ca計為10g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/81\07001氯化鈣Calcium chloride.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","氫氧化鈣","Calcium Hydroxide","本品可使用於各類食品；用量以Ca計為10g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/82\07002氫氧化鈣Calcium Hydroxide.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","硫酸鈣","Calcium Sulfate","本品可使用於各類食品；用量以Ca計為10g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/83\07003硫化鈣Calcium sulfate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","葡萄糖酸鈣","Calcium Gluconate","本品可使用於各類食品；用量以Ca計為10g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/84\07004葡萄糖酸鈣Calcium gluconate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","檸檬酸鈣","Calcium Citrate","本品可使用於各類食品；用量以Ca計為10g/kg 以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/85\07005檸檬酸鈣Calcium citrate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","磷酸二氫鈣","Calcium Phosphate，Monobasic","本品可使用於各類食品；用量以Ca計為10g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/86\07006磷酸二氫鈣Calcium phosphate (monobasic).doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","磷酸氫鈣（無水）","Calcium Phosphate，Dibasic(Anhydrous)","本品可使用於各類食品；用量以Ca計為10g/kg以下。","限於食品製造或加工必須時使用。","","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","皂土","Bentonite","本品可使用於各類食品；於食品中殘留量應在5g/kg以下。","限於食品製造或加工必須時使用。","","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","矽酸鈣","Calcium Silicate","1.本品可使用於合成膨脹劑；用量為5％以下。 2.本品可使用於其他食品；用量為2.0％以下。","限於食品製造或加工必須時使用。","","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","矽鋁酸鈉","Sodium Silicoaluminate","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","磷酸氫鈣","Calcium Phosphate，Dibasic","本品可使用於各類食品；用量以Ca計為10g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/87\07007磷酸氫鈣Calcium phosphate(Dibasic).doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","磷酸鈣","Calcium Phosphate，Tribasic","本品可使用於各類食品；用量以Ca計為10g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/89\07009磷酸鈣Calcium phosphate (Trihasic).doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","酸性焦磷酸鈣","Calcium Dihydrogen Pyrophosphate","本品可使用於各類食品；用量以Ca計為10g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/90\07010酸性焦磷酸鈣Calcium dihydrogen pyrophosphate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","甘油醇磷酸鈣","Calcium Glycerophosphate","本品可使用於各類食品；用量以Ca計為10g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/91\07011甘油醇磷酸鈣Calcium glycerophosphate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","乳酸鈣","Calcium Lactate","本品可使用於各類食品；用量以Ca計為10g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/92\07012乳酸鈣Calcium lactate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","硬脂酸乳酸鈣","Calcium Stearoyl Lactylate","本品可使用於各類食品；用量以Ca計為10g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/93\07013乳酸硬脂鈣Calcium stearyl 2-lactylate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","碳酸鈣","Calcium Carbonate","1.本品可於口香糖及泡泡糖中視實際需要適量使用。 2.本品可使用於口香糖及泡泡糖以外之其他食品；用量以Ca計為10g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/94\07014碳酸鈣Calcium Carbonate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","碳酸銨","Ammonium Carbonate","本品可於各類食品中視為實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/95\07015碳酸銨Ammonium carbonate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","碳酸鉀","Potassium Carbonate","本品可於各類食品中視為實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/96\07016碳酸鉀Potassium carbonate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","碳酸鈉、無水碳酸鈉","Sodium Carbonate ; Sodium Carbonate , Anhydrous","本品可於各類食品中視為實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/97\07017碳酸鈉、無水碳酸鈉Sodium carbonate (anhydrous).doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","碳酸鎂","Magnesium Carbonate","本品可使用於各類食品；用量為5g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/98\07018碳酸鎂Mangesium carbonate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","硫酸銨","Ammonium Sulfate","本品可於各類食品中視為實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/99\07019硫酸銨Ammonium sulfate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","硫酸鈉","Sodium Sulfate","本品可於各類食品中視為實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/100\07020硫酸鈉Sodium sulfate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","硬脂酸鎂","Magnesium Stearate","本品可於各類食品中視為實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/101\07021硬脂酸鎂Mangesium stearate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","硫酸鎂","Magnesium Sulfate","本品可於各類食品中視為實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/102\07022硫酸鎂Mangnesium sulfate.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","氯化鎂","Magnesium Chloride","本品可於各類食品中視為實際需要適量使用。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/103\07023氯化鎂Magnesium chloride.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","磷酸二氫銨","Ammonium Phosphate，Monobasic","本品可使用於各類食品；用量以Phosphate計為3g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/104\07024磷酸二氫銨Ammonium phosphate (monobasic).doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","磷酸氫二銨","Ammonium Phosphate，Dibasic","本品可使用於各類食品；用量以Phosphate計為3g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/105\07025磷酸氫二銨-Ammonium phosphate (dibasic).doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","磷酸二氫鉀","Potassium Phosphate，Monobasic","本品可使用於各類食品；用量以Phosphate計為3g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/106\07026磷酸二氫鉀Potassium phosphate (monobasic).doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","磷酸氫二鉀","Potassium Phosphate，Dibasic","本品可使用於各類食品；用量以Phosphate計為3g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/107\07027磷酸氫二鉀Potassium phosphate (dibasic).doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","磷酸鉀","Potassium Phosphate，Tribasic","本品可使用於各類食品；用量以Phosphate計為3g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/108\07028磷酸鉀Potassium phosphate (tribasic).doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","磷酸二氫鈉","Sodium Phosphate , Monobasic","本品可使用於各類食品；用量以Phosphate計為3g/kg以下。","限於食品製造或加工必須時使用。","https://consumer.fda.gov.tw/Files/FoodAdditives/109\07029磷酸二氫鈉Sodium phosphate (monobasic).doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
