許可證字號,中文品名,英文品名,有效日期,申請商名稱,發證日期,申請商電話,劑型,用途,簽審文件,製造廠國別,成分,申請商地址,包裝量及單位
"衛部添製字 002314","羧甲基纖維素鈉","SODIUM CARBOXYMETHYL CELLULOSE","2019-04-23","振誠貿易股份有限公司","2014-04-23","02-23690989","粉劑","粘稠劑","","","SODIUM CARBOXYMETHYL CELLULOSE","","5.00000公斤;10.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;30.00000公斤"
"衛部添製字 002315","羧甲基纖維素鈉","SODIUM CARBOXYMETHYL CELLULOSE","2019-04-23","振誠貿易股份有限公司","2014-04-23","02-23690989","粉劑","粘稠劑","","","SODIUM CARBOXYMETHYL CELLULOSE","","0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛署添輸字 009102","聚乙烯聚?咯烷酮","CROSPOVIDONE(POLYVINYLPOLYPYRROLIDONE)","2021-09-13","鉅研貿易有限公司","2011-09-13","04-22584338","粉劑","其他","DHB0C009102002","中國大陸","CROSPOVIDONE(POLYVINYLPOLYPYRROLIDONE)","","20.00000公斤"
"衛署添輸字 006207","脂肪酸甘油酯　　　　","GLYCERIN FATTY ACID ESTER(DISTILLED MONOGLYCERIDE TYPE P(V) )","2020-02-08","双安有限公司","2000-02-08","02-25377654","粒狀","乳化劑","DHB0C006207004","馬來西亞","GLYCERIN FATTY ACID ESTER","",""
"衛部添輸字 012270","三共新福保鮮劑 (SA)","FRESHLON SA","2022-09-06","東聚國際食品有限公司","2017-09-06","02-26950866","粉劑","品質改良用、釀造用及食品製造用劑","DHB0M012270006","日本","SODIUM ACETATE (ANHYDROUS);;GLUCONO-δ-LACTONE;;SODIUM METAPHOSPHATE;;CITRIC ACID;;SODIUM POLYPHOSPHATE;;SALT;;DISODIUM DIHYDROGEN PYROPHOSPHATE","","10.00000公斤;1.00000公斤"
"衛部添輸字 012221","三共新福保鮮劑 (M)","NEW FRESHLON‧M","2022-08-17","東聚國際食品有限公司","2017-08-17","02-26950866","粉劑","品質改良用、釀造用及食品製造用劑","DHB0M012221002","日本","SODIUM ACETATE (ANHYDROUS);;SALT;;CITRIC ACID;;SODIUM METAPHOSPHATE;;SODIUM POLYPHOSPHATE","","10.00000公斤;1.00000公斤"
"衛部添輸字 010975","海藻酸鈉","SODIUM ALGINATE (KIMICA ALGIN I-3)","2019-11-04","百承企業股份有限公司","2014-11-04","02-26088992","粉劑","粘稠劑","DHB0M010975005","日本","SODIUM ALGINATE","","20.00000公斤"
"衛部添輸字 010974","海藻酸鈉","SODIUM ALGINATE (KIMICA ALGIN I-1)","2019-11-04","百承企業股份有限公司","2014-11-04","02-26088992","粉劑","粘稠劑","DHB0M010974002","日本","SODIUM ALGINATE","","20.00000公斤"
"衛部添輸字 010860","辛烯基丁二酸鈉澱粉","STARCH SODIUM OCTENYL SUCCINATE (KREATION OP)","2019-08-29","新和食品股份有限公司","2014-08-29","02-25954321","粉劑","粘稠劑","DHB0M010860007","泰國","STARCH SODIUM OCTENYL SUCCINATE","","25.00000公斤"
"衛部添輸字 010859","辛烯基丁二酸鈉澱粉","STARCH SODIUM OCTENYL SUCCINATE (KREAM 21)","2019-08-29","新和食品股份有限公司","2014-08-29","02-25954321","粉劑","粘稠劑","DHB0M010859004","泰國","STARCH SODIUM OCTENYL SUCCINATE","","15.00000公斤"
"衛部添輸字 010209","乙醯化磷酸二澱粉","ACETYLATED DISTARCH PHOSPHATE (KREATION MB)","2018-08-09","詠意企業有限公司","2013-08-09","02-26192287","粉劑","粘稠劑","DHB0M010209006","泰國","ACETYLATED DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添輸字 010198","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE (GENIGEL 42)","2018-08-09","詠意企業有限公司","2013-08-09","02-26192287","粉劑","粘稠劑","DHB0M010198008","泰國","HYDROXYPROPYL DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添輸字 010196","磷酸二澱粉","DISTARCH PHOSPHATE (BINDGEL)","2018-08-09","詠意企業有限公司","2013-08-09","02-26192287","粉劑","粘稠劑","DHB0M010196002","泰國","DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添輸字 010197","乙醯化磷酸二澱粉","ACETYLATED DISTARCH PHOSPHATE (VERITY 497)","2018-08-09","詠意企業有限公司","2013-08-09","02-26192287","粉劑","粘稠劑","DHB0M010197005","泰國","ACETYLATED DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添輸字 010213","乙醯化磷酸二澱粉","ACETYLATED DISTARCH PHOSPHATE (BATTER 491)","2018-08-13","詠意企業有限公司","2013-08-13","02-26192287","粉劑","粘稠劑","DHB0M010213005","泰國","ACETYLATED DISTARCH PHOSPHATE","","25.00000公斤"
"衛部添輸字 011213","辛烯基丁二酸鈉澱粉","STARCH SODIUM OCTENYL SUCCINATE (KREAM 21)","2020-05-09","詠意企業有限公司","2015-05-09","02-26192287","粉劑","粘稠劑","DHB0M011213001","泰國","STARCH SODIUM OCTENYL SUCCINATE","","15.00000公斤"
"衛署添輸字 009971","羥丙基澱粉","HYDROXYPROPYL STARCH (KREATION D8)","2018-03-13","詠意企業有限公司","2013-03-13","02-26192287","粉劑","粘稠劑","DHB0C009971002","泰國","HYDROXYPROPYL STARCH","","25.00000公斤"
"衛署添輸字 00794902","磷酸氫二鉀","POTASSIUM PHOSPHATE, DIBASIC(DIPOTASSIUMPHOSPHATE, FOOD QUALITY)","2017-11-15","欣瑞貿易有限公司","2009-05-19","02-23652869","顆粒劑","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0C007949024","德國","POTASSIUM PHOSPHATE, DIBASIC","","25.00000公斤"
"衛署香輸字 010121","香味醂","YAKIMONO FLAVOR","2021-01-03","正兆有限公司","2010-12-22","02-7317555","液劑","香料","DHB0F010121000","日本","GLUTINOUS RICE EXTRACT;;AROMATIC ALCOHOLS","","20.00000公斤"
"衛部添輸字 011080","氧化羥丙基澱粉","OXIDIZED HYDROXYPROPYL STARCH (EXTRAFIL 802)","2020-01-06","名川企業有限公司","2015-01-06","02-28945678","粉劑","粘稠劑","DHB0M011080007","泰國","OXIDIZED HYDROXYPROPYL STARCH","","25.00000公斤"
"衛部添輸字 011814","乳酸亞鐵","FERROUS LACTATE (FERROUS LACTATE DIHYDRATE FCC POWDER)","2021-08-29","登盛企業股份有限公司","2016-08-29","02-26598566","粉劑","營養添加劑","DHB0M011814005","美國","FERROUS LACTATE","","25.00000公斤"
"衛部添輸字 010703","脂肪酸甘油酯","GLYCERINE FATTY ACID ESTER (MASEMUL DMG 9502)","2019-06-18","玉霸企業有限公司","2014-06-18","02-87513311","微細顆粒","乳化劑","DHB0M010703000","印尼","MONO-AND DIGLYCERIDES","","25.00000公斤"
"衛部添輸字 010702","脂肪酸甘油酯","GLYCERINE FATTY ACID ESTER (MASEMUL MDG 4502)","2019-06-18","玉霸企業有限公司","2014-06-18","02-87513311","微細顆粒","乳化劑","DHB0M010702000","印尼","MONO-AND DIGLYCERIDES","","25.00000公斤"
"衛部添輸字 011578","硫酸鈣","CALCIUM SULFATE","2021-01-22","光邦石膏股份有限公司","2016-01-22","03-5373127","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑","DHB0M011578000","中國大陸","CALCIUM SULFATE","","25.00000公斤;1.00000公斤"
"衛部添輸字 010921","葉黃素","LUTEIN","2019-10-03","立弘生化科技股份有限公司","2014-10-03","02-27030209","粉劑","營養添加劑;;著色劑","DHB0M010921002","中國大陸","LUTEIN","","2.50000公斤;10.00000公斤;1.00000公斤;15.00000公斤"
"衛部添輸字 011934","食用紅色四十號","ALLURA RED AC","2021-11-21","信意企業股份有限公司","2016-11-21","02-7523137","粉劑","著色劑","DHB0M011934005","印度","ALLURA RED AC","","1.00000公斤;5.00000公斤"
"衛署添輸字 009052","吡啶甲酸鉻","CHROMIUM PICOLINATE","2021-08-16","裕元興業股份有限公司","2011-08-16","02-25082277","粉劑","營養添加劑","DHB0C009052004","印度","CHROMIUM PICOLINATE","","0.50000公斤;25.00000公斤;1.00000公斤;20.00000公斤;20.00000公斤"
"衛部添輸字 010967","乳化安定劑/金乳安 150","PALSGAARD CHOMILK 150","2019-10-27","金鎬貿易有限公司","2014-10-27","02-27163693","微細顆粒","乳化劑;;粘稠劑","DHB0M010967007","馬來西亞","CARRAGEENAN;;GUAR GUM;;GLYCERIN FATTY ACID ESTER (MONO-AND DIGLYCERIDES)","","20.00000公斤"
"衛部添輸字 010896","乳化安定劑/金乳安 121","PALSGAARD RECMILK 121","2019-09-19","金鎬貿易有限公司","2014-09-19","02-27163693","粉劑","乳化劑;;粘稠劑","DHB0M010896001","馬來西亞","SODIUM ALGINATE;;MONO-AND DIGLYCERIDES OF FATTY ACIDS;;CARRAGEENAN;;GUAR GUM;;SODIUM POLYPHOSPHATE","","20.00000公斤"
"衛部添輸字 011103","脂肪酸甘油酯","GLYCERIN FATTY ACID ESTER (PALSGAARD DMG 0093 POWDER)","2020-02-06","金鎬貿易有限公司","2015-02-06","02-27163693","粉劑","乳化劑","DHB0M011103002","馬來西亞","GLYCERIN FATTY ACID ESTER","","20.00000公斤"
"衛部添輸字 011919","乳酸硬脂酸鈉","SODIUM STEARYL-2-LACTYLATE (PALSGAARD SSL 3429)","2021-11-10","金鎬貿易有限公司","2016-11-10","02-27163693","粉劑","乳化劑;;品質改良用、釀造用及食品製造用劑","DHB0M011919002","馬來西亞","SODIUM STEARYL-2-LACTYLATE","","25.00000公斤"
"衛署添輸字 006393","硝酸硫胺明　　　　　　　　　　　　　　　　　　　　　","THIAMINE MONONITRATE","2020-04-06","帝斯曼營養品股份有限公司","2000-08-17","02-28319747","粉劑","營養添加劑","DHB0C006393007","德國","THIAMINE MONONITRATE","",""
"衛署添輸字 006916","核黃素（維生素 B2）","RIBOFLAVIN（UNIVERSAL）（VITAMIN B2）","2022-10-31","帝斯曼營養品股份有限公司","2002-10-31","02-28319747","粉劑","營養添加劑","DHB0C006916001","德國","RIBOFLAVIN","","10.00000公斤"
"衛部添輸字 011235","金","GOLD(HIRA HIRA 24K)","2020-05-17","德麥食品股份有限公司","2015-05-17","02-2981347","片狀","著色劑","DHB0M011235002","日本","GOLD","","0.30000公克"
"衛部添輸字 011455","金","GOLD(BOTAN-YUKI)","2020-10-21","德麥食品股份有限公司","2015-10-21","02-2981347","片狀","著色劑","DHB0M011455004","日本","GOLD","","0.30000公克"
"衛部添輸字 012127","L-肉酸","L-CARNITINE (LEVOCARNITINE)","2022-05-19","浤景有限公司","2017-05-19","04-23585228","結晶性粉末","營養添加劑","DHB0M012127002","中國大陸","L-CARNITINE","","25.00000公斤"
"衛部添輸字 011212","檸檬酸鈉","SODIUM CITRATE","2020-04-27","友源貿易股份有限公司","2015-04-27","02-3613250","結晶","調味劑","DHB0M011212008","中國大陸","SODIUM CITRATE","","25.00000公斤"
"衛署添輸字 010034","甘草萃","LICORICE EXTRACTS","2018-04-10","資川有限公司","2013-04-10","05-3821584","粉劑","甜味劑","DHB0C010034007","中國大陸","LICORICE EXTRACTS","","20.00000公斤;20.00000公斤"
"衛部添輸字 011708","複配酶製劑 UTC-801 複方食品添加物","COMPOUND ENZYME UTC-801","2021-06-04","泓博有限公司","2016-06-04","08-7661192","粉劑","酵素製劑","DHB0M011708008","中國大陸","β-GLUCOSIDASE;;CELLULASE;;XYLANASE;;CORN STARCH","","20.00000公斤"
"衛部添輸字 011241","纖維素酶UTC-AE80","CELLULASE UTC-AE80","2020-05-21","泓博有限公司","2015-05-21","08-7661192","液劑","酵素製劑","DHB0M011241004","中國大陸","CELLULASE;;WATER","","30.00000公斤"
"衛部添輸字 012213","鹿角菜膠","CARRAGEENAN (KAPPA REFINED BLK1120)","2022-07-24","昇凱興業有限公司","2017-07-24","03-4626949","粉劑","粘稠劑","DHB0M012213004","中國大陸","CARRAGEENAN","","25.00000公斤"
"衛部添輸字 011876","硝酸鈉","SODIUM NITRATE","2021-10-18","友源貿易股份有限公司","2016-10-18","02-3613250","結晶性粉末","保色劑","DHB0M011876009","德國","SODIUM NITRATE","","25.00000公斤"
"衛部添輸字 011878","亞硝酸鈉","SODIUM NITRITE","2021-10-18","友源貿易股份有限公司","2016-10-18","02-3613250","結晶性粉末","保色劑","DHB0M011878002","德國","SODIUM NITRITE","","25.00000公斤"
"衛署添輸字 008463","磷酸","PHOSPHORIC ACID","2019-09-27","博學企業有限公司","2009-09-27","04-23601156","液劑","調味劑","DHB0C008463002","中國大陸","PHOSPHORIC ACID","","35.00000公斤;330.00000公斤;1700.00000公克"
"衛部添輸字 011280","菸鹼醯胺","NICOTINAMIDE (NIACINAMIDE USP)","2020-07-04","裕元興業股份有限公司","2015-07-04","02-25082277","結晶性粉末","營養添加劑","DHB0M011280004","印度","NICOTINAMIDE","","25.00000公斤"
"衛署添輸字 010155","海藻酸鈉","SODIUM ALGINATE","2018-07-03","立弘生化科技股份有限公司","2013-07-03","02-27030209","粉劑","粘稠劑","DHB0C010155000","中國大陸","SODIUM ALGINATE","","25.00000公斤"
"衛部添輸字 012069","乳酸90%","LACTIC ACID 90%","2022-02-21","友源貿易股份有限公司","2017-02-21","02-3613250","液劑","調味劑","DHB0M012069006","中國大陸","LATIC ACID 90%","","255.00000公斤"
"衛署添輸字 006644","第三丁基氫醌","TERTIARY BUTYL HYDROQUINONE (TBHQ)","2021-05-29","裕元興業股份有限公司","2001-05-29","02-25082277","結晶性粉末","抗氧化劑","DHB0C006644005","印度","TERTIARY-BUTYL HYDROQUINONE","","1.00000公斤;1.00000公斤;25.00000公斤"
"衛署添輸字 003672","抑菌防酸精　　　　　　　　　　　　　　　　　　　　　","TARI L96S","2020-12-21","磐昇股份有限公司","1990-12-21","02-8310281","液劑","調味劑","DHB0C003672006","德國","LACTIC ACID SOLUTION;;ACETIC ACID SOLUTION;;CITRIC ACID SOLUTION;;TARTARIC ACID SOLUTION;;GLUCOSE(DEXTROSE)","",""
"衛署添輸字 003607","多磷酸鈉　　　　　　　　　　　　　　　　　　　　　　","SODIUM POLYPHOSPHATE (TARI P22)","2020-10-11","磐昇股份有限公司","1990-10-11","02-8310281","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0C003607006","德國","SODIUM POLYPHOSPHATE(SODIUM TRIPOLYPHOSPHAT","",""
"衛部添輸字 011742","磷酸","PHOSPHORIC ACID (PHOSPHORIC ACID 85% MIN FOOD GRADE)","2021-07-04","元成化工原料股份有限公司","2016-07-04","04-26307706","液劑","調味劑","DHB0M011742006","中國大陸","PHOSPHORIC ACID","","35.00000公斤;330.00000公斤;1600.00000公斤;1650.00000公斤;1700.00000公斤;26000.00000公斤"
"衛部添輸字 011283","L-抗壞血酸鈉","SODIUM ASCORBATE","2020-07-04","特品貿易有限公司","2015-07-04","02-25036949","結晶性粉末","抗氧化劑;;營養添加劑","DHB0M011283000","中國大陸","SODIUM ASCORBATE","","25.00000公斤"
"衛部添輸字 011282","L-抗壞血酸(維生素C)","L-ASCORBIC ACID (VITAMIN C)","2020-07-04","特品貿易有限公司","2015-07-04","02-25036949","結晶性粉末","抗氧化劑;;營養添加劑","DHB0M011282000","中國大陸","ASCORBIC ACID","","25.00000公斤"
"衛部添輸字 011083","酸性白土(活性白土)","ACID CLAY (TONSIL OPTIMUM 230FF)","2020-01-06","台灣科萊恩股份有限公司","2015-01-06","02-25155154","粉劑","品質改良用、釀造用及食品製造用劑","DHB0M011083003","印尼","ACID CLAY","","25.00000公斤;900.00000公斤"
"衛部添輸字 010508","抗壞血酸(維生素C)","ASCORBIC ACID (VITAMIN C)","2019-02-13","懋旭實業有限公司","2014-02-13","02-21002395","結晶性粉末","抗氧化劑;;營養添加劑","DHB0M010508005","中國大陸","ASCORBIC ACID (VITAMIN C)","","25.00000公斤"
"衛署添輸字 009588","DL-蛋胺酸","DL-METHIONINE","2022-06-15","金東林貿易有限公司","2012-06-15","02-25955099","結晶性粉末","營養添加劑","DHB0C009588007","中國大陸","DL-METHIONINE","","25.00000公斤"
"衛部添輸字 010481","焦磷酸鈉(無水)","SODIUM PYROPHOSPHATE (ANHYDROUS) (TETRASODIUM PYROPHOSPHATE, FOOD GRADE (E450III))","2019-01-09","欣瑞貿易有限公司","2014-01-09","02-23652869","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0M010481001","德國","SODIUM PYROPHOSPHATE(ANHYDROUS)","","25.00000公斤"
"衛部添輸字 01136401","多磷酸鈉","SODIUM POLYPHOSPHATE (SODIUM TRIPOLYPHOSPHATE (STPP))","2020-08-31","欣瑞貿易有限公司","2015-10-31","02-23652869","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0M011364011","中國大陸","SODIUM POLYPHOSPHATE","","25.00000公斤"
"衛部添輸字 01136501","多磷酸鈉","SODIUM POLYPHOSPHATE (SODIUM TRIPOLYPHOSPHATE (STPP))","2020-08-28","欣瑞貿易有限公司","2015-10-31","02-23652869","微細顆粒","品質改良用、釀造用及食品製造用劑;;結著劑","DHB0M011365014","中國大陸","SODIUM POLYPHOSPHATE","","25.00000公斤"
"衛部添輸字 011528","磷酸二氫鉀","POTASSIUM PHOSPHATE, MONOBASIC (MONOPOTASSIUM PHOSPHATE)","2020-12-09","元成化工原料股份有限公司","2015-12-09","04-26307706","結晶性粉末","品質改良用、釀造用及食品製造用劑;;結著劑;;營養添加劑","DHB0M011528006","中國大陸","POTASSIUM PHOSPHATE, MONOBASIC","","25.00000公斤;1000.00000公斤;1100.00000公斤;1150.00000公斤;1200.00000公斤;1250.00000公斤"
"衛部添輸字 010561","乙基麥芽醇","ETHYL MALTOL","2019-03-12","特品貿易有限公司","2014-03-12","02-25036949","結晶性粉末","香料","DHB0M010561008","中國大陸","ETHYL MALTOL","","25.00000公斤"
"衛部添輸字 011410","L-抗壞血酸(維生素C)","L-ASCORBIC ACID","2020-09-25","特品貿易有限公司","2015-09-25","02-25036949","結晶性粉末","抗氧化劑;;營養添加劑","DHB0M011410002","中國大陸","L-ASCORBIC ACID","","25.00000公斤"
"衛署添輸字 008259","硫酸錳","MANGANESE SULFATE (MANGANESE SULFATE MONOHYDRATE USP FINE GRANULAR CODE 2570","2019-02-17","穎陞興業有限公司","2014-06-24","02-26807930","微細顆粒","營養添加劑","DHB0C008259003","美國","MANGANESE SULFATE","","25.00000公斤"
